Rk,Player,M,M W%,Ace%,1stIn,1st%,2nd%,2%-InP,Hld%,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,G W%,DF_avg,SPW_avg,RPW_avg
1,Jannik Sinner,79,92.4,9.9,61.6,79.3,57.8,61.7,91.5,7.5,3.1,31.9,55.9,28.3,42.2,658,0.67,3.1,8.3,3.5,73.6,0.32,1.6,4.1,0.41,1.1,55.3,75.8,60.3,4.4,70.4,41.6
2,Alexander Zverev,89,76.4,11.5,71.4,76.6,54.8,60.3,90.0,6.5,2.5,29.8,51.4,22.5,37.3,705,0.6,2.9,7.9,3.0,69.2,0.32,1.6,4.3,0.49,1.3,53.4,60.0,56.3,5.9,69.5,38.3
3,Carlos Alcaraz,67,80.6,6.3,65.5,73.6,57.7,62.5,86.7,5.1,3.5,34.4,54.4,30.9,42.0,593,0.74,3.4,8.9,3.7,64.5,0.37,1.8,4.5,0.62,1.6,54.2,58.1,58.9,5.2,68.0,41.7
4,Taylor Fritz,76,69.7,13.1,62.9,78.3,55.7,59.3,88.5,7.7,3.8,27.4,49.5,20.1,39.1,501,0.51,2.5,6.6,2.6,69.6,0.38,1.9,5.0,0.57,1.5,52.6,64.7,54.8,4.2,68.5,35.8
5,Jack Draper,61,63.9,10.8,59.6,78.0,50.9,56.6,84.1,8.3,3.5,29.7,50.4,24.2,42.4,446,0.57,2.8,7.3,3.1,60.3,0.4,1.9,5.1,0.77,2.0,52.0,54.2,54.1,7.1,66.5,38.2
6,Novak Djokovic,46,80.4,8.2,64.4,75.4,55.9,60.9,85.9,6.9,3.2,33.5,54.6,29.9,41.6,418,0.72,3.3,9.1,3.8,65.3,0.41,1.9,5.3,0.66,1.8,54.6,68.4,58.3,5.6,68.1,41.8
7,Casper Ruud,76,67.1,7.5,65.8,73.0,54.4,59.0,84.0,8.5,3.3,29.7,50.3,24.0,40.5,533,0.59,2.7,7.0,2.8,63.4,0.44,2.0,5.2,0.73,1.9,52.0,60.7,54.2,5.2,66.2,38.2
8,Alex De Minaur,68,69.1,6.2,54.6,72.6,54.6,59.3,80.7,5.8,3.9,32.9,55.6,31.1,45.0,575,0.69,3.2,8.5,3.8,59.7,0.48,2.2,5.8,0.89,2.3,52.7,61.1,55.7,5.8,64.5,42.1
9,Lorenzo Musetti,68,58.8,4.4,64.7,70.4,52.4,55.7,78.8,6.9,3.3,29.2,51.7,22.2,36.8,524,0.6,2.9,7.7,2.8,57.0,0.49,2.3,6.3,1.01,2.7,50.5,52.9,50.6,4.0,63.9,37.8
10,Holger Rune,68,66.2,8.4,60.2,74.0,55.2,60.6,84.7,7.8,3.5,26.8,48.7,18.9,37.9,428,0.5,2.4,6.3,2.4,65.8,0.45,2.2,5.6,0.74,1.9,50.9,64.5,51.9,6.3,66.2,35.4
11,Daniil Medvedev,65,70.8,8.0,61.8,73.2,49.3,57.5,80.0,5.8,3.1,32.5,52.7,28.0,44.4,538,0.63,3.0,8.3,3.7,61.2,0.51,2.4,6.7,0.94,2.6,51.8,71.4,53.8,9.9,64.4,40.2
12,Tommy Paul,64,70.3,7.0,61.9,71.6,55.0,58.3,82.2,5.2,2.9,34.2,52.2,28.5,41.4,536,0.69,3.2,8.4,3.5,66.2,0.53,2.5,6.5,0.84,2.2,52.9,60.9,55.6,3.8,64.6,41.0
13,Ben Shelton,67,61.2,11.0,69.0,75.6,54.2,61.8,88.8,7.1,3.6,25.0,45.5,14.9,34.6,396,0.43,2.2,5.9,2.0,72.8,0.41,2.1,5.7,0.57,1.6,50.8,48.0,52.1,8.0,68.6,32.4
14,Arthur Fils,66,57.6,8.4,61.1,75.2,49.5,55.7,82.3,7.3,2.8,29.3,48.3,20.0,39.0,413,0.51,2.4,6.3,2.4,63.8,0.49,2.3,6.0,0.84,2.2,50.7,60.0,51.2,7.7,65.2,36.8
15,Grigor Dimitrov,64,71.9,10.7,61.2,80.1,52.4,59.6,87.3,9.5,3.3,28.3,51.4,21.1,37.3,464,0.57,2.7,7.3,2.7,67.2,0.39,1.9,5.0,0.62,1.7,52.7,71.4,54.5,8.3,69.4,38.0
16,Frances Tiafoe,57,56.1,9.6,59.0,74.2,54.1,58.1,84.0,12.9,4.2,27.2,48.8,18.1,35.2,401,0.51,2.6,7.0,2.5,64.4,0.45,2.2,6.1,0.79,2.2,50.5,51.3,50.9,5.0,65.2,36.4
17,Andrey Rublev,69,62.3,10.2,61.8,76.4,53.6,58.5,86.8,10.0,3.7,28.5,51.9,20.5,35.5,518,0.58,2.9,7.5,2.7,68.8,0.42,2.1,5.6,0.67,1.7,52.2,43.2,53.7,5.8,67.1,38.4
18,Francisco Cerundolo,66,53.0,4.2,64.3,67.9,51.7,57.8,77.4,4.9,2.5,31.5,50.5,25.7,43.4,475,0.59,2.8,7.2,3.1,60.9,0.58,2.8,7.0,1.08,2.8,50.4,48.5,51.6,7.2,62.5,38.6
19,Stefanos Tsitsipas,67,67.2,8.4,60.8,74.3,54.8,60.6,86.4,6.8,2.7,28.6,48.0,22.4,41.5,436,0.54,2.6,6.5,2.7,68.4,0.43,2.1,5.3,0.68,1.7,51.6,56.3,54.7,6.7,66.5,36.2
20,Tomas Machac,56,58.9,6.3,64.0,69.1,52.8,58.1,79.0,8.3,3.4,30.1,50.3,24.4,43.7,389,0.56,2.7,6.9,3.0,59.4,0.52,2.5,6.4,1.0,2.6,50.5,62.5,51.7,6.2,63.1,38.2
21,Jakub Mensik,45,55.6,12.0,59.9,74.1,47.3,53.2,80.5,8.5,3.8,27.2,50.3,19.5,39.6,285,0.49,2.2,6.3,2.5,64.8,0.55,2.6,7.2,0.9,2.5,49.9,54.3,50.1,7.8,62.4,35.8
22,Ugo Humbert,63,61.9,8.6,63.8,73.5,55.0,58.8,85.9,7.7,3.9,28.7,50.6,22.2,38.4,461,0.58,2.7,7.3,2.8,66.0,0.42,2.0,5.4,0.68,1.8,51.9,41.7,54.3,4.4,66.0,37.2
23,Sebastian Korda,50,62.0,10.5,60.2,74.4,52.3,55.5,82.1,8.0,3.8,28.4,51.7,22.2,38.3,350,0.58,2.8,7.0,2.7,60.4,0.45,2.2,5.5,0.86,2.2,51.0,46.2,52.1,4.1,64.4,37.6
24,Karen Khachanov,59,62.7,9.6,64.3,74.6,52.2,55.5,83.2,9.7,3.4,27.4,52.2,21.9,40.5,407,0.54,2.7,6.9,2.8,61.9,0.44,2.2,5.6,0.83,2.1,51.3,60.6,52.5,4.0,65.6,37.4
25,Alexei Popyrin,50,56.0,11.8,64.1,75.1,50.4,56.2,84.5,8.9,4.0,26.9,47.2,18.2,36.1,321,0.5,2.5,6.4,2.3,66.8,0.47,2.3,5.9,0.75,2.0,50.4,46.2,51.2,7.0,65.3,34.8
26,Alejandro Davidovich Fokina,40,45.0,6.2,67.6,68.2,51.7,56.9,78.9,9.3,3.5,28.7,50.4,22.5,40.4,280,0.56,2.7,7.0,2.8,62.3,0.56,2.8,7.1,1.04,2.7,50.1,29.2,50.7,6.2,62.6,38.0
27,Felix Auger Aliassime,57,56.1,11.0,62.7,75.5,50.9,59.3,84.0,6.1,3.6,31.1,48.2,21.6,40.8,353,0.53,2.5,6.2,2.5,63.5,0.44,2.1,5.2,0.77,1.9,51.6,41.7,52.9,9.8,66.2,37.3
28,Denis Shapovalov,49,53.1,10.4,60.2,77.0,50.4,62.5,85.3,5.0,3.4,30.7,45.8,20.2,39.1,320,0.52,2.6,6.5,2.6,66.9,0.44,2.2,5.6,0.73,1.9,51.0,42.3,52.7,13.6,67.4,35.7
29,Brandon Nakashima,50,54.0,11.4,66.3,74.5,55.9,58.4,88.1,9.6,3.7,25.7,46.7,16.3,33.4,296,0.49,2.4,5.9,2.0,71.4,0.42,2.0,5.1,0.58,1.5,50.9,44.4,52.4,3.0,66.7,34.2
30,Matteo Berrettini,44,72.7,12.9,68.6,78.0,52.0,55.2,90.1,6.1,2.5,28.7,45.7,19.5,39.3,262,0.5,2.5,6.0,2.3,72.3,0.36,1.8,4.3,0.5,1.2,52.1,64.3,54.8,3.8,68.2,35.2
31,Hubert Hurkacz,59,67.8,14.9,63.2,77.9,54.5,57.6,88.7,7.2,2.9,27.3,47.8,17.1,36.6,377,0.47,2.3,6.4,2.3,70.3,0.38,2.0,5.4,0.58,1.6,51.8,56.9,53.4,3.6,67.4,35.2
32,Alex Michelsen,64,53.1,5.7,67.9,69.3,51.0,56.1,79.1,9.0,3.9,28.7,50.2,22.7,41.4,418,0.55,2.5,6.5,2.7,60.7,0.53,2.5,6.4,0.98,2.5,50.5,51.3,51.1,6.1,63.3,37.6
33,Sebastian Baez,59,52.5,2.8,71.8,63.7,51.5,56.3,73.5,6.5,3.0,32.9,50.3,26.4,40.1,469,0.66,3.1,7.9,3.2,61.4,0.69,3.2,8.2,1.22,3.2,50.0,56.3,49.8,5.4,60.4,39.9
34,Flavio Cobolli,62,56.5,7.1,55.2,73.1,50.9,55.9,79.9,6.9,3.9,26.7,50.4,20.9,40.0,425,0.52,2.5,6.9,2.7,65.0,0.57,2.8,7.5,0.96,2.6,49.8,42.4,50.4,6.5,63.2,35.9
35,Tallon Griekspoor,63,52.4,11.1,64.1,75.3,52.8,59.5,84.7,9.9,3.1,25.3,44.5,14.3,37.1,318,0.39,1.9,5.0,1.9,62.8,0.41,2.0,5.4,0.76,2.0,49.8,53.2,49.6,7.7,66.6,32.6
36,Giovanni Mpetshi Perricard,28,57.1,21.8,64.7,79.7,52.8,64.2,88.8,8.8,3.0,22.8,37.4,10.3,40.6,96,0.25,1.3,3.4,1.4,68.8,0.36,1.9,5.0,0.59,1.6,49.7,57.7,50.3,12.0,68.8,28.2
37,Matteo Arnaldi,53,52.8,8.4,56.7,71.0,49.4,54.2,76.8,4.7,2.7,31.2,48.0,23.2,40.0,395,0.58,2.8,7.5,3.0,60.6,0.59,2.9,7.7,1.14,3.0,49.7,55.2,50.2,6.4,61.2,37.5
38,Jiri Lehecka,49,61.2,10.9,61.7,75.5,51.5,56.6,84.0,8.0,3.0,28.0,46.3,18.4,35.8,299,0.51,2.5,6.1,2.2,67.3,0.49,2.4,5.8,0.79,1.9,50.6,65.0,51.1,6.2,65.5,35.3
39,Alexandre Muller,37,45.9,4.5,64.5,67.8,50.1,53.8,75.2,9.7,4.0,27.4,53.4,23.7,39.6,268,0.6,3.0,7.2,2.9,57.1,0.58,2.9,7.0,1.23,3.0,49.7,55.0,49.4,4.6,61.4,38.6
40,Nuno Borges,49,49.0,7.1,62.6,70.4,49.5,54.7,75.6,6.4,3.9,28.5,52.7,20.8,38.0,332,0.55,2.7,6.8,2.6,58.2,0.58,2.8,7.2,1.18,3.0,49.9,53.3,48.1,6.6,62.4,37.7
41,Jordan Thompson,59,59.3,9.0,60.1,72.7,53.1,55.3,80.8,6.6,4.0,29.3,48.2,19.6,36.4,387,0.54,2.6,6.6,2.4,65.9,0.56,2.7,6.8,0.92,2.3,50.5,75.0,50.1,2.8,63.7,36.2
42,Alejandro Tabilo,59,54.2,10.0,64.3,74.8,49.0,53.6,83.7,11.1,4.2,26.6,50.4,18.7,38.7,351,0.48,2.3,5.9,2.3,66.1,0.48,2.4,6.0,0.8,2.0,50.6,48.4,51.4,5.9,64.8,36.0
43,Gael Monfils,46,54.3,10.8,60.3,73.8,51.2,58.5,81.6,4.5,2.9,30.2,43.7,19.8,38.3,308,0.52,2.5,6.7,2.6,61.5,0.48,2.3,6.3,0.9,2.4,50.2,60.9,50.8,8.6,64.4,35.2
44,Lorenzo Sonego,49,40.8,8.4,67.4,73.6,51.6,55.9,83.9,4.9,2.7,26.3,43.3,13.6,32.4,259,0.42,2.1,5.3,1.7,63.0,0.43,2.2,5.4,0.8,2.0,49.2,50.0,48.6,5.1,65.8,32.2
45,Marcos Giron,53,50.9,6.5,60.3,73.1,51.1,53.5,81.0,8.4,3.5,28.0,48.6,19.6,36.9,344,0.53,2.6,6.5,2.4,60.0,0.48,2.3,5.8,0.92,2.3,50.0,54.5,50.1,3.2,63.7,36.3
46,Luciano Darderi,50,48.0,7.1,58.5,70.4,51.1,55.2,77.8,9.1,3.8,28.4,50.5,21.3,39.1,322,0.54,2.6,6.4,2.5,62.0,0.58,2.8,7.0,1.08,2.7,49.7,59.3,49.7,5.2,62.0,37.1
47,Miomir Kecmanovic,55,45.5,5.6,61.8,70.8,52.7,56.5,78.7,9.1,3.5,27.0,51.0,19.9,37.3,370,0.53,2.5,6.7,2.5,55.2,0.48,2.3,6.0,1.01,2.7,49.7,31.0,49.3,4.7,63.7,36.5
48,David Goffin,33,51.5,6.2,59.4,69.1,47.4,52.5,73.1,8.2,3.1,30.8,51.1,26.0,39.2,278,0.66,3.2,8.4,3.3,58.6,0.65,3.0,8.1,1.26,3.4,49.7,36.4,49.3,6.8,60.2,39.6
49,Pedro Martinez,41,43.9,2.9,68.7,65.7,46.7,55.6,72.3,9.7,3.4,29.0,52.4,22.4,38.6,293,0.58,2.8,7.1,2.8,56.9,0.64,3.1,7.9,1.33,3.4,48.9,53.3,47.4,10.6,60.8,38.9
50,Zizou Bergs,35,48.6,8.7,62.6,72.6,52.2,57.9,80.8,5.7,3.6,28.4,50.1,18.9,34.8,264,0.54,2.6,7.5,2.6,63.5,0.53,2.5,7.2,0.92,2.6,50.5,53.3,49.6,6.8,64.6,36.7
51,Tomas Martin Etcheverry,60,51.7,7.9,65.6,72.0,49.8,53.1,81.9,7.6,3.5,28.1,50.9,21.8,37.5,443,0.58,2.8,7.4,2.8,64.7,0.51,2.5,6.5,0.88,2.3,50.6,43.8,51.7,4.1,63.6,37.0
52,Quentin Halys,20,55.0,16.0,57.7,80.8,49.8,56.0,87.0,7.9,3.7,24.6,44.2,13.3,37.2,94,0.36,1.7,4.7,1.8,72.2,0.47,2.3,6.3,0.65,1.8,50.5,57.1,50.6,7.9,66.4,32.2
53,Nicolas Jarry,43,44.2,10.7,63.0,74.3,50.4,54.5,81.8,7.2,2.8,25.4,46.2,14.4,33.2,244,0.43,2.2,5.7,1.9,64.3,0.51,2.6,6.7,0.91,2.4,49.2,46.2,48.0,5.2,64.4,33.2
54,Gabriel Diallo,16,50.0,10.0,68.0,68.5,46.0,51.0,80.3,4.6,3.1,35.8,45.3,22.1,36.2,138,0.61,3.1,8.6,3.1,61.9,0.52,2.7,7.4,1.02,2.8,50.3,30.0,51.3,6.4,60.2,39.2
55,Zhizhen Zhang,54,46.3,10.0,63.5,73.0,52.0,56.2,82.4,11.7,3.5,25.5,47.5,16.9,38.0,292,0.44,2.2,5.4,2.1,56.9,0.41,2.0,4.9,0.85,2.1,49.5,39.3,49.5,5.1,64.4,34.8
56,Roberto Bautista Agut,46,54.3,3.5,68.1,67.6,52.5,56.9,78.8,13.1,3.9,26.7,53.3,21.0,40.8,287,0.52,2.5,6.2,2.5,62.4,0.56,2.7,6.9,1.03,2.6,50.1,70.6,50.1,5.2,62.9,38.4
57,Jacob Fearnley,5,40.0,6.2,60.0,74.2,53.0,61.1,84.3,8.2,2.2,24.6,48.3,14.3,32.3,31,0.44,2.4,6.2,2.0,60.7,0.4,2.2,5.6,0.85,2.2,49.0,50.0,49.3,9.3,66.5,33.0
58,Benjamin Bonzi,11,45.5,7.7,63.7,71.4,50.7,53.5,76.3,7.6,2.7,30.8,46.3,19.7,36.1,72,0.55,2.8,6.5,2.4,64.0,0.66,3.3,7.8,1.19,2.8,49.6,57.1,47.9,3.6,63.0,36.8
59,Roberto Carballes Baena,51,49.0,3.7,64.9,67.6,52.2,56.6,75.7,6.4,3.4,29.9,50.7,21.2,35.7,359,0.6,2.8,7.0,2.5,59.7,0.6,2.9,7.2,1.15,2.9,49.9,57.9,48.5,5.2,62.4,37.9
60,Camilo Ugo Carabelli,8,25.0,2.8,58.6,63.9,37.9,42.3,58.4,5.1,3.8,29.0,51.6,26.7,60.0,40,0.44,2.2,5.0,3.0,64.4,1.17,5.8,13.0,2.06,4.6,46.6,50.0,42.5,7.4,53.7,38.4
61,Fabian Marozsan,51,45.1,5.9,64.8,69.0,49.1,53.8,75.0,9.8,4.0,27.3,51.3,20.9,39.9,318,0.52,2.5,6.2,2.5,56.3,0.57,2.7,6.9,1.19,3.0,49.4,58.3,48.0,5.9,61.8,37.0
62,Kei Nishikori,17,47.1,2.2,68.4,63.4,54.7,58.2,78.0,10.3,3.4,27.9,50.9,17.9,33.3,114,0.54,2.6,6.7,2.2,60.0,0.55,2.6,6.8,1.05,2.7,48.5,40.0,47.7,3.9,60.8,37.0
63,Francisco Comesana,11,36.4,7.3,62.0,70.5,49.5,54.2,76.0,5.6,4.1,28.0,43.8,15.0,37.7,69,0.4,1.9,6.3,2.4,59.0,0.58,2.8,9.1,1.14,3.7,48.4,57.1,45.3,6.0,62.1,33.8
64,Laslo Djere,27,37.0,7.6,63.5,69.2,48.9,53.4,77.0,6.3,3.3,27.1,51.7,21.6,40.7,182,0.53,2.5,6.7,2.7,63.9,0.64,3.0,8.0,1.08,2.9,49.3,41.2,49.2,5.8,61.2,36.2
65,Joao Fonseca,19,63.2,6.7,65.8,71.3,56.5,60.5,82.6,7.0,3.4,30.4,52.2,24.4,35.5,152,0.69,2.8,8.0,2.8,58.7,0.42,1.7,4.8,0.7,2.0,51.6,53.3,53.3,4.4,65.8,37.6
66,Jaume Munar,37,35.1,4.4,64.8,67.1,47.1,54.3,72.0,5.1,2.8,34.8,50.7,26.8,37.6,319,0.71,3.4,8.6,3.2,59.4,0.69,3.3,8.4,1.33,3.4,50.2,16.7,49.4,9.0,60.6,41.0
67,Juncheng Shang,46,54.3,5.6,61.6,70.7,53.2,57.8,79.9,10.5,3.2,27.4,50.1,19.4,33.3,342,0.58,2.8,7.4,2.5,63.3,0.55,2.6,6.9,0.94,2.5,49.9,63.0,49.5,5.4,64.0,36.8
68,Mattia Bellucci,14,42.9,12.1,62.6,73.9,51.3,57.2,81.3,12.4,2.5,26.3,44.3,13.8,31.7,82,0.43,2.1,5.9,1.9,69.0,0.6,2.8,8.1,0.88,2.5,49.4,71.4,47.3,7.2,64.5,34.3
69,Damir Dzumhur,6,33.3,0.7,63.9,65.1,47.5,52.2,70.5,6.0,3.8,32.3,47.7,26.2,44.0,25,0.6,1.8,4.2,1.8,43.5,0.52,1.6,3.8,0.93,2.2,48.8,0.0,48.8,6.2,59.6,38.5
70,Learner Tien,10,60.0,4.3,67.5,65.7,53.9,57.7,75.4,9.7,2.0,26.4,52.6,21.0,38.8,67,0.54,1.9,6.7,2.6,64.8,0.7,2.4,8.8,0.86,3.1,48.8,62.5,48.4,4.4,61.6,36.7
71,Daniel Altmaier,36,36.1,7.6,62.7,70.6,48.4,52.8,77.3,4.9,3.6,29.0,45.0,17.0,37.0,211,0.46,2.3,5.9,2.2,58.9,0.55,2.7,7.0,1.12,2.9,48.8,58.3,47.2,5.8,61.8,35.0
72,Hamad Medjedovic,17,52.9,11.8,66.9,74.3,53.0,59.8,85.2,11.8,3.9,27.3,46.8,14.9,32.4,105,0.46,2.3,6.2,2.0,69.1,0.48,2.4,6.5,0.74,2.0,50.6,50.0,50.1,7.6,66.4,35.6
73,Bu Yunchaokete,15,60.0,9.4,57.8,74.5,55.2,58.3,82.6,10.9,2.9,29.4,46.1,20.8,40.2,92,0.52,2.6,6.1,2.5,61.3,0.45,2.3,5.3,0.89,2.1,50.8,50.0,51.7,3.8,65.4,36.6
74,Yoshihito Nishioka,37,54.1,3.0,63.3,67.7,54.9,57.7,79.0,13.1,3.8,25.9,50.2,20.3,40.3,216,0.5,2.3,5.8,2.4,60.8,0.54,2.4,6.1,0.93,2.4,49.2,64.3,49.5,3.3,63.0,36.7
75,Arthur Rinderknech,43,48.8,13.2,63.1,76.6,49.3,53.8,83.4,8.4,3.0,25.7,44.4,15.5,32.2,276,0.48,2.4,6.4,2.1,64.1,0.46,2.3,6.1,0.82,2.2,49.6,56.0,49.3,5.8,65.1,33.6
76,Alexander Bublik,50,50.0,14.2,60.1,75.7,43.8,54.7,78.3,7.2,3.3,29.1,45.9,19.2,39.5,291,0.49,2.3,5.8,2.3,62.1,0.57,2.7,7.0,1.03,2.6,49.5,47.6,49.0,14.0,62.8,35.8
77,Roman Safiullin,43,41.9,8.5,61.1,73.3,50.1,55.3,79.2,7.4,3.2,29.6,48.7,20.2,36.7,313,0.55,2.7,7.3,2.7,62.3,0.55,2.7,7.3,1.03,2.8,50.2,38.9,49.7,6.4,63.8,36.8
78,Hugo Gaston,29,44.8,3.5,57.2,65.5,50.8,54.1,70.1,7.7,3.3,31.0,47.2,21.5,37.6,218,0.57,2.8,7.5,2.8,56.2,0.68,3.3,8.9,1.43,3.9,48.2,69.2,45.7,4.4,59.3,37.2
79,Aleksandar Vukic,47,46.8,11.2,59.4,73.7,50.0,52.8,79.4,9.8,3.8,24.4,48.3,16.1,36.6,257,0.44,2.2,5.5,2.0,62.1,0.54,2.6,6.7,1.0,2.5,49.1,67.9,47.6,3.8,62.6,34.0
80,Aleksandar Kovacevic,32,31.3,12.0,59.1,75.9,49.0,54.5,82.6,11.9,3.4,24.6,43.1,12.6,32.3,167,0.39,2.0,5.2,1.7,66.8,0.52,2.6,7.0,0.87,2.3,48.5,30.0,47.4,7.2,64.0,32.7
81,Christopher Oconnell,39,43.6,9.8,59.1,73.7,49.4,52.8,81.2,11.3,3.6,25.4,48.0,15.8,34.8,207,0.45,2.2,5.3,1.8,64.0,0.52,2.5,6.1,0.9,2.2,49.0,50.0,48.3,4.5,62.7,34.6
82,Rinky Hijikata,37,40.5,5.2,58.8,68.3,47.1,51.8,71.7,9.4,3.4,28.4,48.8,19.1,36.4,242,0.52,2.5,6.5,2.4,60.4,0.72,3.4,8.7,1.34,3.4,47.9,66.7,45.0,6.4,59.6,36.9
83,Corentin Moutet,30,43.3,2.1,67.2,65.7,48.3,51.4,71.5,3.8,3.0,34.7,47.6,26.1,40.6,249,0.64,3.0,8.3,3.4,58.4,0.69,3.2,8.7,1.33,3.6,49.3,43.8,48.6,4.0,60.2,38.7
84,Borna Coric,31,38.7,8.6,61.3,71.9,51.5,55.7,80.7,9.1,4.1,26.6,48.1,17.3,37.0,173,0.47,2.3,5.6,2.1,64.5,0.54,2.6,6.5,0.93,2.3,49.6,29.4,48.9,5.2,63.3,35.6
85,Botic Van De Zandschulp,44,40.9,6.1,62.7,70.3,45.3,52.0,74.4,7.0,3.7,28.1,50.7,20.2,38.0,279,0.53,2.6,6.3,2.4,59.9,0.64,3.1,7.5,1.24,3.0,49.0,38.1,47.2,8.8,61.3,36.8
86,Raphael Collignon,3,0.0,4.9,66.2,72.6,46.4,69.6,73.5,7.3,1.8,23.3,43.3,2.9,12.5,8,0.24,1.1,2.7,0.3,62.5,0.71,3.4,8.0,1.29,3.0,45.6,50.0,38.2,22.3,67.0,29.2
87,Jan Lennard Struff,51,58.8,11.1,58.2,77.3,51.4,58.1,84.5,10.1,4.2,27.9,50.1,18.3,33.0,388,0.56,2.8,7.6,2.5,66.6,0.46,2.3,6.3,0.78,2.1,51.2,62.8,51.4,8.2,66.1,37.2
88,Adam Walton,14,21.4,6.6,64.7,72.2,51.2,55.2,80.8,12.1,3.0,24.8,46.2,13.3,31.6,79,0.42,2.1,5.6,1.8,63.2,0.52,2.6,6.8,0.95,2.5,48.3,12.5,46.5,4.8,64.4,33.5
89,Kamil Majchrzak,2,50.0,2.3,65.9,75.9,60.0,64.3,100.0,6.1,12.1,57.9,71.4,71.4,83.3,6,0.86,1.5,3.0,2.5,100.0,1.14,2.0,4.0,0.0,0.0,67.5,0.0,85.7,4.5,71.0,63.3
90,James Duckworth,24,37.5,9.4,60.0,73.7,52.6,56.8,83.7,15.8,3.5,20.6,46.7,10.8,32.0,100,0.34,1.7,4.2,1.3,67.3,0.5,2.5,6.3,0.82,2.0,48.5,60.0,47.5,5.2,64.5,32.1
91,Cameron Norrie,39,53.8,6.3,64.3,72.6,51.6,55.8,82.1,10.2,3.0,28.9,49.6,22.0,39.8,284,0.55,2.7,7.3,2.9,64.5,0.5,2.5,6.7,0.89,2.4,50.7,29.6,52.2,5.2,64.8,37.2
92,Vit Kopriva,7,0.0,5.3,59.9,65.3,37.2,43.1,58.8,9.6,2.8,23.4,49.7,18.9,54.8,31,0.34,1.6,4.4,2.4,47.8,0.79,3.5,9.6,1.84,5.0,43.8,0.0,38.3,9.6,54.3,33.2
93,Jesper De Jong,7,28.6,7.2,57.2,69.5,48.6,53.2,72.1,9.0,4.0,26.0,43.8,18.4,61.3,31,0.3,1.4,4.4,2.7,56.1,0.63,3.0,9.4,1.32,4.1,47.6,0.0,45.4,6.2,60.2,33.0
94,Reilly Opelka,15,46.7,22.5,62.7,80.0,51.3,57.9,86.8,7.4,3.7,21.0,41.6,9.6,29.2,65,0.33,1.6,4.3,1.3,67.9,0.41,2.1,5.6,0.68,1.8,49.2,36.4,49.0,7.8,66.6,27.9
95,Luca Nardi,16,25.0,3.4,62.2,66.2,42.6,49.9,68.1,5.8,3.8,24.5,51.4,17.3,37.9,87,0.46,2.2,5.4,2.1,55.8,0.72,3.5,8.6,1.53,3.8,46.2,20.0,42.7,10.0,58.2,34.4
96,Mackenzie Mcdonald,18,27.8,4.8,65.2,65.7,48.5,54.5,70.3,8.6,4.7,29.4,51.5,24.4,43.4,136,0.56,2.7,7.6,3.3,48.1,0.57,2.6,7.5,1.37,3.9,48.7,16.7,47.1,7.4,59.9,38.4
97,Alexander Shevchenko,49,42.9,6.8,60.0,68.4,48.8,53.1,73.6,6.7,2.8,28.3,50.3,19.7,40.7,295,0.49,2.3,6.0,2.4,56.8,0.61,2.9,7.5,1.23,3.2,48.7,68.2,46.5,5.6,60.2,36.8
98,Pablo Carreno Busta,16,50.0,4.8,63.3,67.9,49.7,55.1,73.4,9.3,2.4,29.9,49.0,27.2,47.6,105,0.57,2.6,6.6,3.1,55.0,0.59,2.7,6.8,1.23,3.1,49.9,25.0,50.3,6.8,61.4,39.0
99,Mariano Navone,42,42.9,3.2,66.2,62.8,48.2,52.7,67.9,3.8,3.2,34.8,50.3,28.6,43.5,324,0.66,3.1,7.7,3.4,56.5,0.74,3.4,8.5,1.49,3.7,49.1,40.0,48.1,5.7,58.0,40.1
100,Nishesh Basavareddy,3,33.3,8.8,63.3,73.4,45.8,51.4,80.0,11.3,4.3,22.8,53.2,25.0,47.4,19,0.53,1.6,6.3,3.0,74.1,0.77,2.3,9.0,0.58,2.3,49.1,20.0,52.1,7.4,62.8,35.9
