Surface,Local,Visitante,W_OR_L,1_M W%,1_SPW,1_Ace%,1_DF%,1_DF/2s,1_1stIn,1_1st%,1_2nd%,1_2%-InP,1_Hld%,1_RPW,1_vAce%,1_vDF%,1_v1st%,1_v2nd%,1_Brk%,1_BPConv%,1_BPChnc,1_BP/M,1_Bks/S,1_Bks/M,1_BPSvd%,1_Bkn/S,1_TPW%,1_TB W%,1_S W%,1_G W%,2_M W%,2_SPW,2_Ace%,2_DF%,2_DF/2s,2_1stIn,2_1st%,2_2nd%,2_2%-InP,2_Hld%,2_RPW,2_vAce%,2_vDF%,2_v1st%,2_v2nd%,2_Brk%,2_BPConv%,2_BPChnc,2_BP/M,2_Bks/S,2_Bks/M,2_BPSvd%,2_Bkn/S,2_TPW%,2_TB W%,2_S W%,2_G W%
Hard,Jaume Munar,Kei Nishikori,0,18.2,59.9,4.7,4.4,12.2,63.9,68.7,44.3,50.5,73.2,39.3,7.1,3.4,30.6,52.5,24.0,40.2,87,7.9,1.13,3.2,59.6,1.29,49.4,0.0,35.5,48.8,53.8,64.1,2.9,1.7,5.1,65.9,69.0,54.8,57.7,80.6,36.1,9.0,3.7,25.5,51.8,20.0,34.6,81,6.2,0.93,2.2,61.4,0.9,49.8,0.0,50.0,50.2
Hard,Christopher Oconnell,Roberto Carballes Baena,1,50.0,64.9,10.5,2.5,6.0,58.5,75.3,50.2,53.4,83.2,34.2,11.4,3.7,25.2,49.6,17.0,36.3,190,5.6,0.83,2.0,67.1,0.82,49.9,46.7,50.6,50.1,45.5,63.2,5.4,3.3,8.8,62.6,70.7,50.6,55.5,77.6,37.2,7.2,3.2,28.0,51.6,19.6,34.0,150,6.8,0.93,2.3,60.9,1.07,50.1,50.0,45.5,48.8
Hard,Miomir Kecmanovic,Tallon Griekspoor,0,44.1,63.5,5.4,2.9,7.4,60.8,70.0,53.4,57.6,78.5,36.0,9.7,3.5,26.1,51.7,19.5,37.0,230,6.8,0.93,2.5,53.9,1.03,49.5,33.3,45.1,49.1,52.5,68.0,12.5,3.7,11.0,65.8,76.6,51.4,57.8,86.0,31.0,11.5,3.2,23.6,44.3,13.5,38.1,181,4.5,0.68,1.7,63.4,0.7,49.6,50.0,51.5,49.6
Hard,Fabian Marozsan,Pedro Martinez,1,51.5,62.1,5.8,3.4,9.9,65.8,69.3,48.4,53.7,75.9,37.3,9.6,4.1,28.1,51.9,23.2,41.0,222,6.7,1.1,2.8,58.1,1.16,50.0,46.7,49.4,49.8,26.7,58.8,5.0,5.6,15.9,64.7,65.3,46.9,55.7,69.2,35.9,12.4,3.6,24.5,53.7,19.4,40.7,81,5.4,0.92,2.2,50.5,1.44,47.5,33.3,30.6,44.2
Hard,Reilly Opelka,Roman Safiullin,0,36.4,69.6,22.0,3.8,10.5,63.6,79.3,52.7,58.9,89.0,26.9,8.5,3.7,20.1,40.3,8.7,28.9,45,4.1,0.45,1.2,74.2,0.59,48.9,30.0,37.9,49.5,46.4,65.1,9.9,3.9,9.8,59.8,75.1,50.3,55.8,80.4,36.6,7.6,4.0,28.5,50.0,19.6,35.4,192,6.9,0.96,2.4,62.0,0.96,50.5,45.5,47.9,50.0
Hard,Corentin Moutet,Jordan Thompson,1,27.3,57.9,2.4,3.0,8.4,64.9,64.9,44.9,49.1,67.5,37.0,4.8,3.3,31.4,47.0,22.0,38.4,73,6.6,1.08,2.5,55.1,1.54,47.4,37.5,30.8,44.4,63.6,66.0,10.1,1.4,3.5,59.7,74.3,53.7,55.7,81.9,37.5,6.6,4.4,30.1,49.4,21.9,39.1,297,6.8,1.05,2.6,64.3,0.87,51.4,75.0,60.9,51.9
Hard,Luca Nardi,Cameron Norrie,0,28.6,56.6,3.8,6.3,16.3,61.6,66.4,40.9,48.9,66.7,35.4,6.8,4.0,23.9,52.3,18.5,35.7,42,6.0,0.83,2.1,53.3,1.56,46.3,0.0,27.8,43.0,61.1,66.2,7.5,2.3,6.5,64.8,72.4,55.0,58.8,84.8,35.9,10.9,3.3,28.6,48.8,21.5,36.2,152,8.4,1.06,3.1,65.5,0.77,51.2,23.1,53.8,53.6
Hard,Rinky Hijikata,Alexander Shevchenko,1,47.8,60.1,6.1,3.9,9.1,57.5,68.7,48.5,53.3,73.1,36.8,10.2,3.2,29.2,49.6,20.7,38.3,154,6.7,1.0,2.6,61.5,1.25,48.4,63.6,44.1,46.4,46.9,61.4,7.6,3.7,9.1,59.7,70.2,48.4,53.2,75.4,36.0,8.4,3.2,28.0,50.2,19.1,39.0,187,5.8,0.89,2.3,57.8,1.15,48.9,68.8,45.1,47.2
Hard,Tomas Martin Etcheverry,Jakub Mensik,0,46.2,64.7,9.5,2.1,6.2,65.4,73.6,47.9,51.1,83.0,34.8,9.3,3.7,23.9,51.7,17.8,34.6,185,7.1,0.91,2.5,65.7,0.87,49.9,45.0,50.0,50.3,58.6,64.5,13.2,4.0,10.1,60.2,75.5,47.8,53.2,82.6,35.4,8.4,3.9,26.7,49.7,18.9,37.6,205,7.1,0.88,2.7,65.9,0.81,50.1,53.1,55.7,50.7
Hard,Mackenzie Mcdonald,Alejandro Davidovich Fokina,1,22.2,57.8,5.7,4.4,12.3,64.6,62.4,49.4,56.3,67.3,38.0,7.1,3.6,28.4,52.0,24.5,44.3,61,6.8,1.13,3.0,50.0,1.46,47.8,0.0,33.3,45.6,50.0,63.4,6.6,3.1,9.4,66.9,69.4,51.5,56.8,80.0,37.2,9.8,3.8,27.8,50.6,22.4,41.3,213,6.7,1.1,2.8,63.6,0.99,50.3,33.3,50.0,51.3
Hard,Gabriel Diallo,Zhizhen Zhang,1,57.1,62.6,10.5,3.0,9.4,68.6,70.2,46.2,51.0,80.5,37.3,5.4,3.5,32.4,45.6,21.8,35.3,116,8.3,1.11,2.9,59.8,1.0,50.1,37.5,54.1,51.3,40.0,65.2,9.9,3.0,8.1,63.3,72.7,52.3,56.9,82.1,33.1,13.1,3.9,24.2,47.8,15.8,35.4,158,5.3,0.77,1.9,56.6,0.86,49.0,33.3,42.5,48.8
Hard,Aleksandar Kovacevic,Matteo Arnaldi,0,31.8,64.6,13.0,4.9,11.8,58.7,76.0,48.4,54.8,82.0,31.8,12.7,2.9,24.0,43.6,13.6,34.2,114,5.2,0.68,1.8,69.1,0.89,48.5,28.6,35.1,47.7,54.5,62.3,8.5,3.7,8.4,56.4,72.0,49.8,54.4,78.0,36.5,5.2,2.9,29.8,47.5,21.1,38.6,233,7.1,1.03,2.7,58.5,1.09,49.6,61.1,54.0,49.7
Hard,Gael Monfils,Jan Lennard Struff,1,56.7,65.3,10.8,5.3,13.3,59.8,74.4,51.6,59.5,82.9,36.4,4.5,3.0,31.0,45.7,20.9,38.2,212,7.1,1.01,2.7,65.5,0.84,50.9,61.1,55.0,52.1,39.1,64.6,10.8,4.4,10.9,59.3,76.3,47.7,53.5,82.4,34.8,12.8,4.5,25.4,48.8,14.8,31.3,160,7.0,0.76,2.2,67.9,0.89,49.6,54.5,43.9,48.4
Hard,Hugo Gaston,Luciano Darderi,1,40.0,58.5,4.0,3.0,7.4,59.4,65.6,48.0,51.9,69.0,34.6,9.1,3.3,28.1,45.3,17.7,34.7,95,6.3,0.83,2.2,55.1,1.43,46.8,66.7,35.0,43.2,14.3,60.1,8.0,3.9,9.2,57.6,69.4,47.4,52.2,74.1,30.9,14.4,4.0,22.2,45.7,10.7,27.4,62,4.4,0.53,1.2,57.3,1.28,46.1,55.6,21.9,42.3
Hard,Arthur Rinderknech,Nuno Borges,0,51.9,66.4,13.6,2.6,7.1,64.2,75.8,49.5,53.3,83.0,32.9,9.7,3.3,24.2,46.6,15.8,32.3,167,6.2,0.78,2.0,64.6,0.83,49.5,56.3,49.3,49.1,44.8,62.7,8.0,4.0,10.1,60.9,71.4,49.1,54.6,75.7,37.2,7.8,4.4,26.4,53.9,19.9,36.0,203,7.0,0.96,2.5,56.7,1.16,49.7,52.9,46.1,47.6
Hard,David Goffin,Lorenzo Sonego,1,60.0,60.3,6.3,3.9,9.9,60.7,68.6,47.5,52.8,73.7,39.2,8.7,3.2,30.1,52.2,27.8,39.1,215,8.6,1.31,3.4,60.7,1.23,50.0,50.0,53.1,50.7,37.9,66.1,9.6,2.3,7.0,67.4,73.8,50.1,53.9,83.7,32.1,4.7,2.9,26.7,41.6,12.8,32.2,143,4.9,0.65,1.6,62.6,0.82,49.0,50.0,40.8,48.2
Hard,Quentin Halys,Pablo Carreno Busta,1,41.7,65.3,15.5,4.0,9.9,59.3,77.7,47.2,52.3,84.0,31.9,8.4,3.4,23.9,44.0,12.2,37.5,48,4.0,0.6,1.5,72.4,0.8,49.4,50.0,40.0,48.3,57.1,62.6,5.8,3.9,10.4,62.0,69.1,52.0,58.1,76.0,38.4,10.0,2.7,29.5,50.3,28.0,50.0,84,6.0,1.27,3.0,55.0,1.09,50.8,33.3,51.5,52.0
Hard,Mariano Navone,Learner Tien,1,23.1,60.1,5.4,3.7,8.5,56.9,68.5,49.0,53.5,71.7,34.4,6.9,3.9,26.1,47.9,15.6,34.8,69,5.3,0.75,1.8,61.3,1.34,47.4,40.0,28.1,43.5,60.0,61.8,4.3,2.1,6.6,67.5,65.7,53.9,57.7,75.4,35.5,9.7,2.0,26.4,52.6,21.0,38.8,67,6.7,0.72,2.6,64.8,0.86,48.8,62.5,50.0,48.4
Hard,Kei Nishikori,Ugo Humbert,0,53.8,64.1,2.9,1.7,5.1,65.9,69.0,54.8,57.7,80.6,36.1,9.0,3.7,25.5,51.8,20.0,34.6,81,6.2,0.93,2.2,61.4,0.9,49.8,0.0,50.0,50.2,69.0,67.6,9.4,2.4,6.8,63.9,74.0,56.3,60.4,87.6,37.0,8.1,3.7,27.5,52.1,23.1,39.4,297,7.1,1.08,2.8,68.0,0.59,52.4,23.1,64.8,55.7
Hard,Alexander Zverev,Tallon Griekspoor,0,75.0,70.2,11.4,2.7,9.1,70.6,76.2,55.9,61.5,90.3,37.2,7.7,2.5,28.9,51.3,21.1,39.2,380,7.3,1.05,2.9,72.3,0.49,53.2,57.6,69.0,55.9,52.5,68.0,12.5,3.7,11.0,65.8,76.6,51.4,57.8,86.0,31.0,11.5,3.2,23.6,44.3,13.5,38.1,181,4.5,0.68,1.7,63.4,0.7,49.6,50.0,51.5,49.6
Hard,Alexei Popyrin,Zizou Bergs,1,65.6,66.6,12.4,3.8,10.1,62.2,76.2,50.8,56.5,85.6,36.1,9.3,4.6,27.8,49.7,20.2,34.3,233,7.3,1.0,2.5,69.5,0.71,51.3,55.0,61.3,52.8,56.5,65.2,9.2,3.9,10.0,60.7,73.5,52.4,58.3,81.8,36.3,5.8,3.6,28.1,49.3,18.6,34.5,165,7.2,0.9,2.5,62.3,0.87,50.4,50.0,54.0,50.0
Hard,Cameron Norrie,Jiri Lehecka,1,61.1,66.2,7.5,2.3,6.5,64.8,72.4,55.0,58.8,84.8,35.9,10.9,3.3,28.6,48.8,21.5,36.2,152,8.4,1.06,3.1,65.5,0.77,51.2,23.1,53.8,53.6,59.1,65.7,10.9,3.5,9.1,61.2,74.7,51.4,56.5,82.9,34.8,8.1,3.1,27.8,46.2,18.5,36.0,278,6.3,0.9,2.3,66.9,0.83,50.3,63.2,55.0,50.6
Hard,Casper Ruud,Marcos Giron,0,60.5,67.5,8.4,2.7,8.1,66.0,74.6,53.8,58.5,86.7,35.0,10.8,3.5,25.4,49.9,19.9,39.4,254,5.9,0.91,2.3,64.6,0.61,51.3,47.6,56.4,53.4,50.0,64.6,6.2,2.0,5.3,61.2,73.0,51.2,54.1,80.6,36.7,9.2,3.2,28.6,49.7,20.6,39.3,183,6.1,1.0,2.4,58.2,0.92,50.3,61.5,54.2,50.2
Hard,Christopher Oconnell,Matteo Berrettini,0,50.0,64.9,10.5,2.5,6.0,58.5,75.3,50.2,53.4,83.2,34.2,11.4,3.7,25.2,49.6,17.0,36.3,190,5.6,0.83,2.0,67.1,0.82,49.9,46.7,50.6,50.1,57.9,67.1,13.0,1.7,4.8,65.5,76.7,48.8,51.3,86.5,34.3,6.5,2.5,27.8,44.7,18.4,38.9,108,5.7,0.91,2.2,69.0,0.67,50.7,50.0,58.7,52.5
Hard,Roman Safiullin,Lorenzo Musetti,0,46.4,65.1,9.9,3.9,9.8,59.8,75.1,50.3,55.8,80.4,36.6,7.6,4.0,28.5,50.0,19.6,35.4,192,6.9,0.96,2.4,62.0,0.96,50.5,45.5,47.9,50.0,48.5,62.8,4.6,2.5,6.8,63.3,69.2,51.7,55.5,75.4,36.4,8.6,4.0,26.4,52.4,19.8,32.5,255,7.7,0.95,2.5,54.8,1.2,49.3,55.6,47.1,47.6
Hard,Corentin Moutet,Holger Rune,0,27.3,57.9,2.4,3.0,8.4,64.9,64.9,44.9,49.1,67.5,37.0,4.8,3.3,31.4,47.0,22.0,38.4,73,6.6,1.08,2.5,55.1,1.54,47.4,37.5,30.8,44.4,67.4,67.0,9.3,3.7,9.3,60.0,74.7,55.6,61.3,85.4,35.4,8.8,3.6,26.0,50.5,19.2,37.7,276,6.0,0.93,2.3,65.0,0.71,51.2,60.0,59.8,52.4
Hard,Arthur Fils,Gabriel Diallo,1,59.5,67.2,10.2,4.3,10.9,60.7,78.3,49.9,56.0,85.1,35.6,9.0,3.1,27.0,50.0,18.4,34.6,237,6.4,0.86,2.2,64.4,0.71,51.0,56.5,55.8,51.8,57.1,62.6,10.5,3.0,9.4,68.6,70.2,46.2,51.0,80.5,37.3,5.4,3.5,32.4,45.6,21.8,35.3,116,8.3,1.11,2.9,59.8,1.0,50.1,37.5,54.1,51.3
Hard,Daniil Medvedev,Bu Yunchaokete,1,70.7,63.5,8.2,6.0,15.1,60.3,73.2,48.7,57.4,79.5,40.6,5.7,3.3,32.9,53.6,29.9,42.6,376,9.2,1.43,3.9,61.7,0.96,51.9,73.3,65.2,54.5,60.0,66.3,9.4,2.3,5.4,57.8,74.5,55.2,58.3,82.6,35.5,10.9,2.9,29.4,46.1,20.8,40.2,92,6.1,1.06,2.5,61.3,0.89,50.8,50.0,57.1,51.7
Hard,Joao Fonseca,Jack Draper,0,87.5,73.0,9.8,1.1,3.7,70.5,77.9,61.3,63.7,91.3,35.4,11.2,4.8,27.3,51.5,22.3,29.2,72,9.0,0.75,2.6,65.2,0.29,53.3,50.0,67.9,56.5,66.7,65.8,10.4,4.3,10.2,57.9,76.9,50.4,56.1,83.9,39.5,7.8,4.0,31.8,51.0,27.4,46.1,284,7.3,1.3,3.4,65.0,0.76,52.5,50.0,64.4,55.7
Hard,Andrey Rublev,Matteo Arnaldi,0,64.0,68.5,11.3,2.9,7.7,62.3,77.1,54.3,58.8,87.6,36.9,11.1,3.8,27.3,52.3,19.9,35.1,367,7.3,0.99,2.6,69.7,0.62,52.3,51.7,60.8,53.9,54.5,62.3,8.5,3.7,8.4,56.4,72.0,49.8,54.4,78.0,36.5,5.2,2.9,29.8,47.5,21.1,38.6,233,7.1,1.03,2.7,58.5,1.09,49.6,61.1,54.0,49.7
Hard,Adam Walton,Denis Shapovalov,0,11.1,65.5,8.3,2.8,8.1,65.5,74.6,48.3,52.5,82.0,30.6,14.3,2.8,22.4,44.6,9.6,22.0,50,5.6,0.5,1.2,62.3,0.91,47.6,0.0,18.2,45.3,54.5,67.5,12.4,7.5,19.3,61.0,78.6,50.2,62.2,86.7,37.7,5.5,3.8,31.5,49.1,22.4,37.6,229,6.9,1.12,2.6,65.3,0.66,52.1,33.3,55.8,54.6
Hard,Francisco Cerundolo,Mackenzie Mcdonald,1,48.3,62.4,5.3,4.3,10.9,60.5,70.1,50.6,56.8,78.8,36.2,7.4,3.3,27.1,51.0,21.2,42.6,176,6.1,1.03,2.6,62.9,1.04,49.6,47.4,49.3,50.2,22.2,57.8,5.7,4.4,12.3,64.6,62.4,49.4,56.3,67.3,38.0,7.1,3.6,28.4,52.0,24.5,44.3,61,6.8,1.13,3.0,50.0,1.46,47.8,0.0,33.3,45.6
Hard,Carlos Alcaraz,Quentin Halys,1,78.4,70.5,7.5,2.4,6.6,64.5,76.6,59.4,63.6,89.0,40.6,6.0,3.3,33.7,53.0,27.8,40.2,286,7.7,1.29,3.1,64.1,0.52,54.4,53.3,73.0,58.5,41.7,65.3,15.5,4.0,9.9,59.3,77.7,47.2,52.3,84.0,31.9,8.4,3.4,23.9,44.0,12.2,37.5,48,4.0,0.6,1.5,72.4,0.8,49.4,50.0,40.0,48.3
Hard,Botic Van De Zandschulp,Novak Djokovic,1,40.0,62.3,6.4,4.4,12.4,64.5,70.8,46.9,53.5,77.1,35.1,8.5,3.6,25.7,50.7,17.8,38.9,162,5.4,0.9,2.1,59.8,1.14,48.8,43.8,41.4,47.2,76.2,68.9,9.8,3.7,9.7,61.7,77.2,55.5,61.4,87.9,39.9,9.5,3.1,29.7,56.7,25.9,37.7,183,8.7,1.15,3.3,66.7,0.55,54.0,63.6,70.0,57.3
Hard,Hugo Gaston,Hubert Hurkacz,0,40.0,58.5,4.0,3.0,7.4,59.4,65.6,48.0,51.9,69.0,34.6,9.1,3.3,28.1,45.3,17.7,34.7,95,6.3,0.83,2.2,55.1,1.43,46.8,66.7,35.0,43.2,61.8,69.8,15.3,2.4,6.3,62.1,78.8,55.0,58.7,88.8,33.9,8.9,2.7,25.5,48.7,15.6,35.6,208,6.1,0.77,2.2,69.8,0.57,51.6,51.6,58.3,52.8
Hard,Brandon Nakashima,Rinky Hijikata,1,53.3,68.1,12.1,1.4,4.3,66.5,74.4,55.7,58.2,87.3,32.9,10.3,3.6,24.3,47.1,15.7,36.3,157,5.2,0.76,1.9,68.1,0.61,50.4,50.0,54.7,51.5,47.8,60.1,6.1,3.9,9.1,57.5,68.7,48.5,53.3,73.1,36.8,10.2,3.2,29.2,49.6,20.7,38.3,154,6.7,1.0,2.6,61.5,1.25,48.4,63.6,44.1,46.4
Hard,Karen Khachanov,Jakub Mensik,1,65.1,66.7,10.5,2.0,5.7,64.1,74.7,52.5,55.7,82.7,36.7,10.8,3.5,26.6,53.6,22.5,40.5,294,6.8,1.12,2.8,60.8,0.86,51.3,68.0,61.3,52.5,58.6,64.5,13.2,4.0,10.1,60.2,75.5,47.8,53.2,82.6,35.4,8.4,3.9,26.7,49.7,18.9,37.6,205,7.1,0.88,2.7,65.9,0.81,50.1,53.1,55.7,50.7
Hard,Grigor Dimitrov,Nuno Borges,1,73.9,69.6,11.6,4.6,12.2,62.1,80.5,51.6,58.8,87.5,36.9,9.8,3.4,27.7,51.9,20.6,35.9,329,7.2,0.98,2.6,68.1,0.61,52.7,76.0,66.7,54.4,44.8,62.7,8.0,4.0,10.1,60.9,71.4,49.1,54.6,75.7,37.2,7.8,4.4,26.4,53.9,19.9,36.0,203,7.0,0.96,2.5,56.7,1.16,49.7,52.9,46.1,47.6
Hard,Ben Shelton,Mariano Navone,1,61.7,69.7,11.6,3.3,11.0,69.6,76.0,55.2,62.0,89.2,32.1,7.3,3.4,24.2,45.3,14.8,35.8,257,5.5,0.77,2.0,73.2,0.57,51.0,54.1,59.2,52.2,23.1,60.1,5.4,3.7,8.5,56.9,68.5,49.0,53.5,71.7,34.4,6.9,3.9,26.1,47.9,15.6,34.8,69,5.3,0.75,1.8,61.3,1.34,47.4,40.0,28.1,43.5
Hard,David Goffin,Alex De Minaur,0,60.0,60.3,6.3,3.9,9.9,60.7,68.6,47.5,52.8,73.7,39.2,8.7,3.2,30.1,52.2,27.8,39.1,215,8.6,1.31,3.4,60.7,1.23,50.0,50.0,53.1,50.7,66.7,64.8,7.0,3.5,7.7,54.4,73.5,54.3,58.9,82.4,40.4,6.8,3.4,30.5,55.0,27.6,45.2,334,7.4,1.28,3.4,62.2,0.81,52.2,63.6,62.7,54.8
Hard,Sebastian Korda,Gael Monfils,0,63.3,65.3,11.9,2.7,6.7,60.0,74.7,51.2,54.8,81.6,37.7,8.2,4.5,28.3,53.1,23.8,41.2,199,6.6,1.11,2.7,60.7,0.86,51.1,42.9,56.8,52.7,56.7,65.3,10.8,5.3,13.3,59.8,74.4,51.6,59.5,82.9,36.4,4.5,3.0,31.0,45.7,20.9,38.2,212,7.1,1.01,2.7,65.5,0.84,50.9,61.1,55.0,52.1
Hard,Cameron Norrie,Tommy Paul,0,61.1,66.2,7.5,2.3,6.5,64.8,72.4,55.0,58.8,84.8,35.9,10.9,3.3,28.6,48.8,21.5,36.2,152,8.4,1.06,3.1,65.5,0.77,51.2,23.1,53.8,53.6,65.8,64.7,7.5,2.3,5.9,60.1,71.9,53.8,57.2,82.0,40.5,5.4,2.9,33.2,52.0,27.7,40.7,305,8.0,1.28,3.3,65.7,0.84,52.5,53.3,64.9,54.9
Hard,Marcos Giron,Alexei Popyrin,1,50.0,64.6,6.2,2.0,5.3,61.2,73.0,51.2,54.1,80.6,36.7,9.2,3.2,28.6,49.7,20.6,39.3,183,6.1,1.0,2.4,58.2,0.92,50.3,61.5,54.2,50.2,65.6,66.6,12.4,3.8,10.1,62.2,76.2,50.8,56.5,85.6,36.1,9.3,4.6,27.8,49.7,20.2,34.3,233,7.3,1.0,2.5,69.5,0.71,51.3,55.0,61.3,52.8
Hard,Stefanos Tsitsipas,Matteo Berrettini,1,60.0,66.1,9.9,3.7,8.9,58.2,75.4,53.1,58.2,86.1,34.5,7.7,3.0,26.4,46.7,19.4,39.4,208,5.9,0.94,2.3,70.1,0.69,50.9,53.3,57.5,53.2,57.9,67.1,13.0,1.7,4.8,65.5,76.7,48.8,51.3,86.5,34.3,6.5,2.5,27.8,44.7,18.4,38.9,108,5.7,0.91,2.2,69.0,0.67,50.7,50.0,58.7,52.5
Hard,Daniil Medvedev,Alex Michelsen,1,70.7,63.5,8.2,6.0,15.1,60.3,73.2,48.7,57.4,79.5,40.6,5.7,3.3,32.9,53.6,29.9,42.6,376,9.2,1.43,3.9,61.7,0.96,51.9,73.3,65.2,54.5,57.8,63.8,6.5,3.3,9.8,66.2,70.7,50.4,55.8,80.6,37.9,7.9,4.0,29.9,50.5,25.1,43.1,306,6.8,1.14,2.9,62.2,0.9,51.1,48.3,56.0,53.2
Hard,Holger Rune,Ugo Humbert,1,67.4,67.0,9.3,3.7,9.3,60.0,74.7,55.6,61.3,85.4,35.4,8.8,3.6,26.0,50.5,19.2,37.7,276,6.0,0.93,2.3,65.0,0.71,51.2,60.0,59.8,52.4,69.0,67.6,9.4,2.4,6.8,63.9,74.0,56.3,60.4,87.6,37.0,8.1,3.7,27.5,52.1,23.1,39.4,297,7.1,1.08,2.8,68.0,0.59,52.4,23.1,64.8,55.7
Hard,Lorenzo Musetti,Arthur Fils,0,48.5,62.8,4.6,2.5,6.8,63.3,69.2,51.7,55.5,75.4,36.4,8.6,4.0,26.4,52.4,19.8,32.5,255,7.7,0.95,2.5,54.8,1.2,49.3,55.6,47.1,47.6,59.5,67.2,10.2,4.3,10.9,60.7,78.3,49.9,56.0,85.1,35.6,9.0,3.1,27.0,50.0,18.4,34.6,237,6.4,0.86,2.2,64.4,0.71,51.0,56.5,55.8,51.8
