Surface,Local,Visitante,W_OR_L,1_M,1_M W%,1_SPW,1_Ace%,1_DF%,1_DF/2s,1_1stIn,1_1st%,1_2nd%,1_2%-InP,1_Hld%,1_RPW,1_vAce%,1_vDF%,1_v1st%,1_v2nd%,1_Brk%,1_BPConv%,1_BPChnc,1_BP/M,1_Bks/S,1_Bks/M,1_BPSvd%,1_BPvs/S,1_TPW%,1_TB W%,1_S W%,1_G W%,2_M,2_M W%,2_SPW,2_Ace%,2_DF%,2_DF/2s,2_1stIn,2_1st%,2_2nd%,2_2%-InP,2_Hld%,2_RPW,2_vAce%,2_vDF%,2_v1st%,2_v2nd%,2_Brk%,2_BPConv%,2_BPChnc,2_BP/M,2_Bks/S,2_Bks/M,2_BPSvd%,2_BPvs/S,2_TPW%,2_TB W%,2_S W%,2_G W%
Hard,Pablo Carreno Busta,Kamil Majchrzak,1,16,50.0,61.2,4.8,3.6,9.9,63.3,67.9,49.7,55.1,73.4,37.8,9.3,2.4,29.9,49.0,27.2,47.6,105,6.6,1.25,3.1,55.0,2.7,49.9,25.0,47.5,50.3,2,50.0,70.5,2.3,2.3,6.7,65.9,75.9,60.0,64.3,100.0,63.6,6.1,12.1,57.9,71.4,71.4,83.3,6,3.0,1.25,2.5,100.0,2.0,67.5,0.0,50.0,85.7
Hard,Flavio Cobolli,Sebastian Baez,1,62,56.5,63.2,7.1,4.0,9.0,55.2,73.1,50.9,55.9,79.9,35.9,6.9,3.9,26.7,50.4,20.9,40.0,425,6.9,1.01,2.7,65.0,2.8,49.8,42.4,51.5,50.4,59,52.5,60.3,2.8,2.4,8.4,71.8,63.7,51.5,56.3,73.5,39.5,6.5,3.0,32.9,50.3,26.4,40.1,469,7.9,1.24,3.2,61.4,3.2,50.0,56.3,50.7,49.8
Hard,Francisco Cerundolo,Alexander Bublik,1,66,53.0,62.1,4.2,3.8,10.5,64.3,67.9,51.7,57.8,77.4,38.4,4.9,2.5,31.5,50.5,25.7,43.4,475,7.2,1.22,3.1,60.9,2.8,50.4,48.5,53.8,51.6,50,50.0,62.9,14.2,8.0,19.9,60.1,75.7,43.8,54.7,78.3,35.5,7.2,3.3,29.1,45.9,19.2,39.5,291,5.8,0.9,2.3,62.1,2.7,49.5,47.6,46.9,49.0
Hard,Francisco Cerundolo,Alex De Minaur,0,66,53.0,62.1,4.2,3.8,10.5,64.3,67.9,51.7,57.8,77.4,38.4,4.9,2.5,31.5,50.5,25.7,43.4,475,7.2,1.22,3.1,60.9,2.8,50.4,48.5,53.8,51.6,68,69.1,64.4,6.2,3.6,8.0,54.6,72.6,54.6,59.3,80.7,42.0,5.8,3.9,32.9,55.6,31.1,45.0,575,8.5,1.46,3.8,59.7,2.2,52.7,61.1,65.2,55.7
Hard,Francisco Cerundolo,Fabian Marozsan,1,66,53.0,62.1,4.2,3.8,10.5,64.3,67.9,51.7,57.8,77.4,38.4,4.9,2.5,31.5,50.5,25.7,43.4,475,7.2,1.22,3.1,60.9,2.8,50.4,48.5,53.8,51.6,51,45.1,62.0,5.9,3.1,8.7,64.8,69.0,49.1,53.8,75.0,36.4,9.8,4.0,27.3,51.3,20.9,39.9,318,6.2,0.98,2.5,56.3,2.7,49.4,58.3,45.7,48.0
Hard,Flavio Cobolli,Tomas Martin Etcheverry,0,62,56.5,63.2,7.1,4.0,9.0,55.2,73.1,50.9,55.9,79.9,35.9,6.9,3.9,26.7,50.4,20.9,40.0,425,6.9,1.01,2.7,65.0,2.8,49.8,42.4,51.5,50.4,60,51.7,64.4,7.9,2.1,6.1,65.6,72.0,49.8,53.1,81.9,36.7,7.6,3.5,28.1,50.9,21.8,37.5,443,7.4,1.06,2.8,64.7,2.5,50.6,43.8,53.2,51.7
Hard,Corentin Moutet,Grigor Dimitrov,1,30,43.3,60.0,2.1,2.0,6.0,67.2,65.7,48.3,51.4,71.5,38.9,3.8,3.0,34.7,47.6,26.1,40.6,249,8.3,1.23,3.4,58.4,3.2,49.3,43.8,45.1,48.6,64,71.9,69.4,10.7,4.6,12.0,61.2,80.1,52.4,59.6,87.3,37.1,9.5,3.3,28.3,51.4,21.1,37.3,464,7.3,1.02,2.7,67.2,1.9,52.7,71.4,67.6,54.5
Hard,Luciano Darderi,Pedro Martinez,0,50,48.0,62.4,7.1,3.1,7.4,58.5,70.4,51.1,55.2,77.8,36.6,9.1,3.8,28.4,50.5,21.3,39.1,322,6.4,1.02,2.5,62.0,2.8,49.7,59.3,46.3,49.7,41,43.9,59.7,2.9,5.0,16.1,68.7,65.7,46.7,55.6,72.3,38.0,9.7,3.4,29.0,52.4,22.4,38.6,293,7.1,1.08,2.8,56.9,3.1,48.9,53.3,42.9,47.4
Hard,Alejandro Davidovich Fokina,Felix Auger Aliassime,1,40,45.0,62.8,6.2,3.0,9.3,67.6,68.2,51.7,56.9,78.9,37.2,9.3,3.5,28.7,50.4,22.5,40.4,280,7.0,1.1,2.8,62.3,2.8,50.1,29.2,47.6,50.7,57,56.1,66.3,11.0,5.3,14.3,62.7,75.5,50.9,59.3,84.0,37.3,6.1,3.6,31.1,48.2,21.6,40.8,353,6.2,1.02,2.5,63.5,2.1,51.6,41.7,55.3,52.9
Hard,Alex De Minaur,Botic Van De Zandschulp,1,68,69.1,64.4,6.2,3.6,8.0,54.6,72.6,54.6,59.3,80.7,42.0,5.8,3.9,32.9,55.6,31.1,45.0,575,8.5,1.46,3.8,59.7,2.2,52.7,61.1,65.2,55.7,44,40.9,61.0,6.1,4.8,12.9,62.7,70.3,45.3,52.0,74.4,36.7,7.0,3.7,28.1,50.7,20.2,38.0,279,6.3,0.99,2.4,59.9,3.1,49.0,38.1,41.1,47.2
Hard,Nishesh Basavareddy,Novak Djokovic,0,3,33.3,63.3,8.8,4.0,10.8,63.3,73.4,45.8,51.4,80.0,35.2,11.3,4.3,22.8,53.2,25.0,47.4,19,6.3,0.75,3.0,74.1,2.3,49.1,20.0,41.7,52.1,46,80.4,68.4,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,41.3,6.9,3.2,33.5,54.6,29.9,41.6,418,9.1,1.36,3.8,65.3,1.9,54.6,68.4,74.2,58.3
Hard,Benjamin Bonzi,James Duckworth,1,11,45.5,63.9,7.7,1.9,5.3,63.7,71.4,50.7,53.5,76.3,36.2,7.6,2.7,30.8,46.3,19.7,36.1,72,6.5,1.0,2.4,64.0,3.3,49.6,57.1,46.2,47.9,24,37.5,65.3,9.4,3.0,7.4,60.0,73.7,52.6,56.8,83.7,30.6,15.8,3.5,20.6,46.7,10.8,32.0,100,4.2,0.53,1.3,67.3,2.5,48.5,60.0,41.7,47.5
Hard,Alex De Minaur,Jaume Munar,1,68,69.1,64.4,6.2,3.6,8.0,54.6,72.6,54.6,59.3,80.7,42.0,5.8,3.9,32.9,55.6,31.1,45.0,575,8.5,1.46,3.8,59.7,2.2,52.7,61.1,65.2,55.7,37,35.1,60.1,4.4,4.7,13.3,64.8,67.1,47.1,54.3,72.0,40.8,5.1,2.8,34.8,50.7,26.8,37.6,319,8.6,1.26,3.2,59.4,3.3,50.2,16.7,43.2,49.4
Hard,Novak Djokovic,James Duckworth,1,46,80.4,68.4,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,41.3,6.9,3.2,33.5,54.6,29.9,41.6,418,9.1,1.36,3.8,65.3,1.9,54.6,68.4,74.2,58.3,24,37.5,65.3,9.4,3.0,7.4,60.0,73.7,52.6,56.8,83.7,30.6,15.8,3.5,20.6,46.7,10.8,32.0,100,4.2,0.53,1.3,67.3,2.5,48.5,60.0,41.7,47.5
Hard,Learner Tien,Daniil Medvedev,1,10,60.0,61.8,4.3,2.1,6.6,67.5,65.7,53.9,57.7,75.4,35.5,9.7,2.0,26.4,52.6,21.0,38.8,67,6.7,0.72,2.6,64.8,2.4,48.8,62.5,50.0,48.4,65,70.8,64.0,8.0,5.5,14.3,61.8,73.2,49.3,57.5,80.0,39.9,5.8,3.1,32.5,52.7,28.0,44.4,538,8.3,1.34,3.7,61.2,2.4,51.8,71.4,64.6,53.8
Hard,Matteo Arnaldi,Jack Draper,0,53,52.8,61.6,8.4,3.8,8.9,56.7,71.0,49.4,54.2,76.8,37.4,4.7,2.7,31.2,48.0,23.2,40.0,395,7.5,1.13,3.0,60.6,2.9,49.7,55.2,52.9,50.2,61,63.9,67.0,10.8,4.1,10.1,59.6,78.0,50.9,56.6,84.1,37.7,8.3,3.5,29.7,50.4,24.2,42.4,446,7.3,1.17,3.1,60.3,1.9,52.0,54.2,60.5,54.1
Hard,Quentin Halys,Adam Walton,1,20,55.0,67.7,16.0,4.7,11.1,57.7,80.8,49.8,56.0,87.0,32.2,7.9,3.7,24.6,44.2,13.3,37.2,94,4.7,0.65,1.8,72.2,2.3,50.5,57.1,51.9,50.6,14,21.4,64.8,6.6,2.5,7.2,64.7,72.2,51.2,55.2,80.8,32.4,12.1,3.0,24.8,46.2,13.3,31.6,79,5.6,0.68,1.8,63.2,2.6,48.3,12.5,29.7,46.5
Hard,Novak Djokovic,Tomas Machac,1,46,80.4,68.4,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,41.3,6.9,3.2,33.5,54.6,29.9,41.6,418,9.1,1.36,3.8,65.3,1.9,54.6,68.4,74.2,58.3,56,58.9,63.2,6.3,3.3,9.2,64.0,69.1,52.8,58.1,79.0,37.6,8.3,3.4,30.1,50.3,24.4,43.7,389,6.9,1.16,3.0,59.4,2.5,50.5,62.5,57.5,51.7
Hard,Nuno Borges,Carlos Alcaraz,0,49,49.0,62.6,7.1,3.6,9.6,62.6,70.4,49.5,54.7,75.6,37.7,6.4,3.9,28.5,52.7,20.8,38.0,332,6.8,1.01,2.6,58.2,2.8,49.9,53.3,47.2,48.1,67,80.6,68.1,6.3,2.6,7.7,65.5,73.6,57.7,62.5,86.7,41.6,5.1,3.5,34.4,54.4,30.9,42.0,593,8.9,1.44,3.7,64.5,1.8,54.2,58.1,75.1,58.9
Hard,Novak Djokovic,Alexander Zverev,0,46,80.4,68.4,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,41.3,6.9,3.2,33.5,54.6,29.9,41.6,418,9.1,1.36,3.8,65.3,1.9,54.6,68.4,74.2,58.3,89,76.4,70.4,11.5,2.6,9.2,71.4,76.6,54.8,60.3,90.0,37.9,6.5,2.5,29.8,51.4,22.5,37.3,705,7.9,1.09,3.0,69.2,1.6,53.4,60.0,70.5,56.3
Hard,Mattia Bellucci,Yoshihito Nishioka,0,14,42.9,65.5,12.1,3.9,10.4,62.6,73.9,51.3,57.2,81.3,32.9,12.4,2.5,26.3,44.3,13.8,31.7,82,5.9,0.65,1.9,69.0,2.8,49.4,71.4,47.5,47.3,37,54.1,63.0,3.0,1.8,4.8,63.3,67.7,54.9,57.7,79.0,35.4,13.1,3.8,25.9,50.2,20.3,40.3,216,5.8,0.91,2.4,60.8,2.4,49.2,64.3,53.1,49.5
Hard,Jack Draper,Mariano Navone,1,61,63.9,67.0,10.8,4.1,10.1,59.6,78.0,50.9,56.6,84.1,37.7,8.3,3.5,29.7,50.4,24.2,42.4,446,7.3,1.17,3.1,60.3,1.9,52.0,54.2,60.5,54.1,42,42.9,57.9,3.2,2.9,8.5,66.2,62.8,48.2,52.7,67.9,40.3,3.8,3.2,34.8,50.3,28.6,43.5,324,7.7,1.34,3.4,56.5,3.4,49.1,40.0,43.8,48.1
Hard,James Duckworth,Adam Walton,1,24,37.5,65.3,9.4,3.0,7.4,60.0,73.7,52.6,56.8,83.7,30.6,15.8,3.5,20.6,46.7,10.8,32.0,100,4.2,0.53,1.3,67.3,2.5,48.5,60.0,41.7,47.5,14,21.4,64.8,6.6,2.5,7.2,64.7,72.2,51.2,55.2,80.8,32.4,12.1,3.0,24.8,46.2,13.3,31.6,79,5.6,0.68,1.8,63.2,2.6,48.3,12.5,29.7,46.5
Hard,Tomas Martin Etcheverry,Marcos Giron,0,60,51.7,64.4,7.9,2.1,6.1,65.6,72.0,49.8,53.1,81.9,36.7,7.6,3.5,28.1,50.9,21.8,37.5,443,7.4,1.06,2.8,64.7,2.5,50.6,43.8,53.2,51.7,53,50.9,64.3,6.5,1.8,4.5,60.3,73.1,51.1,53.5,81.0,35.9,8.4,3.5,28.0,48.6,19.6,36.9,344,6.5,0.95,2.4,60.0,2.3,50.0,54.5,52.6,50.1
Hard,Jacob Fearnley,Mariano Navone,1,5,40.0,65.7,6.2,5.3,13.3,60.0,74.2,53.0,61.1,84.3,32.3,8.2,2.2,24.6,48.3,14.3,32.3,31,6.2,0.77,2.0,60.7,2.2,49.0,50.0,46.2,49.3,42,42.9,57.9,3.2,2.9,8.5,66.2,62.8,48.2,52.7,67.9,40.3,3.8,3.2,34.8,50.3,28.6,43.5,324,7.7,1.34,3.4,56.5,3.4,49.1,40.0,43.8,48.1
Hard,Alex De Minaur,Alex Michelsen,1,68,69.1,64.4,6.2,3.6,8.0,54.6,72.6,54.6,59.3,80.7,42.0,5.8,3.9,32.9,55.6,31.1,45.0,575,8.5,1.46,3.8,59.7,2.2,52.7,61.1,65.2,55.7,64,53.1,63.4,5.7,3.0,9.2,67.9,69.3,51.0,56.1,79.1,37.1,9.0,3.9,28.7,50.2,22.7,41.4,418,6.5,1.05,2.7,60.7,2.5,50.5,51.3,53.3,51.1
Hard,Jacob Fearnley,Alexander Zverev,0,5,40.0,65.7,6.2,5.3,13.3,60.0,74.2,53.0,61.1,84.3,32.3,8.2,2.2,24.6,48.3,14.3,32.3,31,6.2,0.77,2.0,60.7,2.2,49.0,50.0,46.2,49.3,89,76.4,70.4,11.5,2.6,9.2,71.4,76.6,54.8,60.3,90.0,37.9,6.5,2.5,29.8,51.4,22.5,37.3,705,7.9,1.09,3.0,69.2,1.6,53.4,60.0,70.5,56.3
Hard,Arthur Fils,Mariano Navone,1,66,57.6,65.2,8.4,4.3,11.1,61.1,75.2,49.5,55.7,82.3,36.3,7.3,2.8,29.3,48.3,20.0,39.0,413,6.3,0.95,2.4,63.8,2.3,50.7,60.0,54.7,51.2,42,42.9,57.9,3.2,2.9,8.5,66.2,62.8,48.2,52.7,67.9,40.3,3.8,3.2,34.8,50.3,28.6,43.5,324,7.7,1.34,3.4,56.5,3.4,49.1,40.0,43.8,48.1
Hard,Joao Fonseca,Andrey Rublev,1,19,63.2,66.2,6.7,2.2,6.5,65.8,71.3,56.5,60.5,82.6,37.3,7.0,3.4,30.4,52.2,24.4,35.5,152,8.0,1.0,2.8,58.7,1.7,51.6,53.3,59.3,53.3,69,62.3,67.7,10.2,3.2,8.4,61.8,76.4,53.6,58.5,86.8,37.5,10.0,3.7,28.5,51.9,20.5,35.5,518,7.5,1.02,2.7,68.8,2.1,52.2,43.2,58.9,53.7
Hard,Taylor Fritz,Nicolas Jarry,1,76,69.7,69.9,13.1,2.3,6.1,62.9,78.3,55.7,59.3,88.5,35.6,7.7,3.8,27.4,49.5,20.1,39.1,501,6.6,0.96,2.6,69.6,1.9,52.6,64.7,65.2,54.8,43,44.2,65.5,10.7,2.8,7.6,63.0,74.3,50.4,54.5,81.8,33.0,7.2,2.8,25.4,46.2,14.4,33.2,244,5.7,0.72,1.9,64.3,2.6,49.2,46.2,43.8,48.0
Hard,Hugo Gaston,Jesper De Jong,1,29,44.8,59.2,3.5,2.6,6.1,57.2,65.5,50.8,54.1,70.1,36.8,7.7,3.3,31.0,47.2,21.5,37.6,218,7.5,1.04,2.8,56.2,3.3,48.2,69.2,41.8,45.7,7,28.6,60.6,7.2,3.7,8.6,57.2,69.5,48.6,53.2,72.1,32.9,9.0,4.0,26.0,43.8,18.4,61.3,31,4.4,0.86,2.7,56.1,3.0,47.6,0.0,31.8,45.4
Hard,Marcos Giron,Jannik Sinner,0,53,50.9,64.3,6.5,1.8,4.5,60.3,73.1,51.1,53.5,81.0,35.9,8.4,3.5,28.0,48.6,19.6,36.9,344,6.5,0.95,2.4,60.0,2.3,50.0,54.5,52.6,50.1,79,92.4,71.1,9.9,2.4,6.3,61.6,79.3,57.8,61.7,91.5,40.9,7.5,3.1,31.9,55.9,28.3,42.2,658,8.3,1.32,3.5,73.6,1.6,55.3,75.8,83.8,60.3
Hard,Quentin Halys,Arthur Fils,0,20,55.0,67.7,16.0,4.7,11.1,57.7,80.8,49.8,56.0,87.0,32.2,7.9,3.7,24.6,44.2,13.3,37.2,94,4.7,0.65,1.8,72.2,2.3,50.5,57.1,51.9,50.6,66,57.6,65.2,8.4,4.3,11.1,61.1,75.2,49.5,55.7,82.3,36.3,7.3,2.8,29.3,48.3,20.0,39.0,413,6.3,0.95,2.4,63.8,2.3,50.7,60.0,54.7,51.2
Hard,Hubert Hurkacz,Tallon Griekspoor,1,59,67.8,69.3,14.9,1.9,5.3,63.2,77.9,54.5,57.6,88.7,34.8,7.2,2.9,27.3,47.8,17.1,36.6,377,6.4,0.86,2.3,70.3,2.0,51.8,56.9,62.1,53.4,63,52.4,67.2,11.1,4.1,11.3,64.1,75.3,52.8,59.5,84.7,32.0,9.9,3.1,25.3,44.5,14.3,37.1,318,5.0,0.7,1.9,62.8,2.0,49.8,53.2,51.8,49.6
Hard,Hamad Medjedovic,Borna Coric,1,17,52.9,67.2,11.8,3.8,11.4,66.9,74.3,53.0,59.8,85.2,34.7,11.8,3.9,27.3,46.8,14.9,32.4,105,6.2,0.74,2.0,69.1,2.4,50.6,50.0,50.0,50.1,31,38.7,64.0,8.6,2.9,7.6,61.3,71.9,51.5,55.7,80.7,35.2,9.1,4.1,26.6,48.1,17.3,37.0,173,5.6,0.84,2.1,64.5,2.6,49.6,29.4,42.1,48.9
Hard,Arthur Fils,Ugo Humbert,0,66,57.6,65.2,8.4,4.3,11.1,61.1,75.2,49.5,55.7,82.3,36.3,7.3,2.8,29.3,48.3,20.0,39.0,413,6.3,0.95,2.4,63.8,2.3,50.7,60.0,54.7,51.2,63,61.9,66.8,8.6,2.3,6.4,63.8,73.5,55.0,58.8,85.9,37.0,7.7,3.9,28.7,50.6,22.2,38.4,461,7.3,1.05,2.8,66.0,2.0,51.9,41.7,59.8,54.3
Hard,Hamad Medjedovic,Rinky Hijikata,1,17,52.9,67.2,11.8,3.8,11.4,66.9,74.3,53.0,59.8,85.2,34.7,11.8,3.9,27.3,46.8,14.9,32.4,105,6.2,0.74,2.0,69.1,2.4,50.6,50.0,50.0,50.1,37,40.5,59.6,5.2,3.8,9.1,58.8,68.3,47.1,51.8,71.7,36.2,9.4,3.4,28.4,48.8,19.1,36.4,242,6.5,0.93,2.4,60.4,3.4,47.9,66.7,40.0,45.0
Hard,Cameron Norrie,Marcos Giron,0,39,53.8,65.1,6.3,2.7,7.6,64.3,72.6,51.6,55.8,82.1,36.1,10.2,3.0,28.9,49.6,22.0,39.8,284,7.3,1.09,2.9,64.5,2.5,50.7,29.6,51.0,52.2,53,50.9,64.3,6.5,1.8,4.5,60.3,73.1,51.1,53.5,81.0,35.9,8.4,3.5,28.0,48.6,19.6,36.9,344,6.5,0.95,2.4,60.0,2.3,50.0,54.5,52.6,50.1
Hard,Ugo Humbert,Hugo Gaston,1,63,61.9,66.8,8.6,2.3,6.4,63.8,73.5,55.0,58.8,85.9,37.0,7.7,3.9,28.7,50.6,22.2,38.4,461,7.3,1.05,2.8,66.0,2.0,51.9,41.7,59.8,54.3,29,44.8,59.2,3.5,2.6,6.1,57.2,65.5,50.8,54.1,70.1,36.8,7.7,3.3,31.0,47.2,21.5,37.6,218,7.5,1.04,2.8,56.2,3.3,48.2,69.2,41.8,45.7
Hard,Sebastian Korda,Aleksandar Vukic,0,50,62.0,65.6,10.5,2.3,5.9,60.2,74.4,52.3,55.5,82.1,37.2,8.0,3.8,28.4,51.7,22.2,38.3,350,7.0,1.07,2.7,60.4,2.2,51.0,46.2,56.8,52.1,47,46.8,64.1,11.2,2.2,5.4,59.4,73.7,50.0,52.8,79.4,33.6,9.8,3.8,24.4,48.3,16.1,36.6,257,5.5,0.79,2.0,62.1,2.6,49.1,67.9,47.1,47.6
Hard,Gael Monfils,Daniel Altmaier,1,46,54.3,64.8,10.8,4.9,12.4,60.3,73.8,51.2,58.5,81.6,35.3,4.5,2.9,30.2,43.7,19.8,38.3,308,6.7,0.96,2.6,61.5,2.3,50.2,60.9,52.8,50.8,36,36.1,62.3,7.6,3.1,8.4,62.7,70.6,48.4,52.8,77.3,35.3,4.9,3.6,29.0,45.0,17.0,37.0,211,5.9,0.84,2.2,58.9,2.7,48.8,58.3,40.9,47.2
Hard,Hubert Hurkacz,Miomir Kecmanovic,0,59,67.8,69.3,14.9,1.9,5.3,63.2,77.9,54.5,57.6,88.7,34.8,7.2,2.9,27.3,47.8,17.1,36.6,377,6.4,0.86,2.3,70.3,2.0,51.8,56.9,62.1,53.4,55,45.5,63.9,5.6,2.6,6.8,61.8,70.8,52.7,56.5,78.7,35.9,9.1,3.5,27.0,51.0,19.9,37.3,370,6.7,0.95,2.5,55.2,2.3,49.7,31.0,45.9,49.3
Hard,Jaume Munar,Taylor Fritz,0,37,35.1,60.1,4.4,4.7,13.3,64.8,67.1,47.1,54.3,72.0,40.8,5.1,2.8,34.8,50.7,26.8,37.6,319,8.6,1.26,3.2,59.4,3.3,50.2,16.7,43.2,49.4,76,69.7,69.9,13.1,2.3,6.1,62.9,78.3,55.7,59.3,88.5,35.6,7.7,3.8,27.4,49.5,20.1,39.1,501,6.6,0.96,2.6,69.6,1.9,52.6,64.7,65.2,54.8
Hard,Jesper De Jong,Reilly Opelka,0,7,28.6,60.6,7.2,3.7,8.6,57.2,69.5,48.6,53.2,72.1,32.9,9.0,4.0,26.0,43.8,18.4,61.3,31,4.4,0.86,2.7,56.1,3.0,47.6,0.0,31.8,45.4,15,46.7,69.3,22.5,4.2,11.4,62.7,80.0,51.3,57.9,86.8,28.2,7.4,3.7,21.0,41.6,9.6,29.2,65,4.3,0.48,1.3,67.9,2.1,49.2,36.4,42.5,49.0
Hard,Miomir Kecmanovic,Bu Yunchaokete,1,55,45.5,63.9,5.6,2.6,6.8,61.8,70.8,52.7,56.5,78.7,35.9,9.1,3.5,27.0,51.0,19.9,37.3,370,6.7,0.95,2.5,55.2,2.3,49.7,31.0,45.9,49.3,15,60.0,66.3,9.4,2.3,5.4,57.8,74.5,55.2,58.3,82.6,35.5,10.9,2.9,29.4,46.1,20.8,40.2,92,6.1,1.06,2.5,61.3,2.3,50.8,50.0,57.1,51.7
Hard,Karen Khachanov,Gabriel Diallo,1,59,62.7,66.6,9.6,2.1,6.0,64.3,74.6,52.2,55.5,83.2,36.6,9.7,3.4,27.4,52.2,21.9,40.5,407,6.9,1.09,2.8,61.9,2.2,51.3,60.6,60.3,52.5,16,50.0,61.3,10.0,3.1,9.7,68.0,68.5,46.0,51.0,80.3,39.2,4.6,3.1,35.8,45.3,22.1,36.2,138,8.6,1.14,3.1,61.9,2.7,50.3,30.0,50.0,51.3
Hard,Jakub Mensik,Alejandro Davidovich Fokina,0,45,55.6,63.4,12.0,4.4,11.1,59.9,74.1,47.3,53.2,80.5,35.5,8.5,3.8,27.2,50.3,19.5,39.6,285,6.3,0.89,2.5,64.8,2.6,49.9,54.3,53.5,50.1,40,45.0,62.8,6.2,3.0,9.3,67.6,68.2,51.7,56.9,78.9,37.2,9.3,3.5,28.7,50.4,22.5,40.4,280,7.0,1.1,2.8,62.3,2.8,50.1,29.2,47.6,50.7
Hard,Matteo Arnaldi,Roman Safiullin,1,53,52.8,61.6,8.4,3.8,8.9,56.7,71.0,49.4,54.2,76.8,37.4,4.7,2.7,31.2,48.0,23.2,40.0,395,7.5,1.13,3.0,60.6,2.9,49.7,55.2,52.9,50.2,43,41.9,64.3,8.5,3.6,9.3,61.1,73.3,50.1,55.3,79.2,36.5,7.4,3.2,29.6,48.7,20.2,36.7,313,7.3,0.99,2.7,62.3,2.7,50.2,38.9,46.6,49.7
Hard,Jiri Lehecka,Hugo Gaston,1,49,61.2,66.3,10.9,3.4,9.0,61.7,75.5,51.5,56.6,84.0,34.9,8.0,3.0,28.0,46.3,18.4,35.8,299,6.1,0.91,2.2,67.3,2.4,50.6,65.0,57.6,51.1,29,44.8,59.2,3.5,2.6,6.1,57.2,65.5,50.8,54.1,70.1,36.8,7.7,3.3,31.0,47.2,21.5,37.6,218,7.5,1.04,2.8,56.2,3.3,48.2,69.2,41.8,45.7
Hard,Ben Shelton,Gael Monfils,1,67,61.2,69.0,11.0,3.8,12.2,69.0,75.6,54.2,61.8,88.8,32.5,7.1,3.6,25.0,45.5,14.9,34.6,396,5.9,0.76,2.0,72.8,2.1,50.8,48.0,56.9,52.1,46,54.3,64.8,10.8,4.9,12.4,60.3,73.8,51.2,58.5,81.6,35.3,4.5,2.9,30.2,43.7,19.8,38.3,308,6.7,0.96,2.6,61.5,2.3,50.2,60.9,52.8,50.8
Hard,Aleksandar Kovacevic,Sebastian Korda,0,32,31.3,64.9,12.0,4.2,10.2,59.1,75.9,49.0,54.5,82.6,31.8,11.9,3.4,24.6,43.1,12.6,32.3,167,5.2,0.64,1.7,66.8,2.6,48.5,30.0,35.3,47.4,50,62.0,65.6,10.5,2.3,5.9,60.2,74.4,52.3,55.5,82.1,37.2,8.0,3.8,28.4,51.7,22.2,38.3,350,7.0,1.07,2.7,60.4,2.2,51.0,46.2,56.8,52.1
Hard,Jack Draper,Aleksandar Vukic,1,61,63.9,67.0,10.8,4.1,10.1,59.6,78.0,50.9,56.6,84.1,37.7,8.3,3.5,29.7,50.4,24.2,42.4,446,7.3,1.17,3.1,60.3,1.9,52.0,54.2,60.5,54.1,47,46.8,64.1,11.2,2.2,5.4,59.4,73.7,50.0,52.8,79.4,33.6,9.8,3.8,24.4,48.3,16.1,36.6,257,5.5,0.79,2.0,62.1,2.6,49.1,67.9,47.1,47.6
Hard,Laslo Djere,Alex Michelsen,0,27,37.0,61.8,7.6,3.1,8.4,63.5,69.2,48.9,53.4,77.0,36.1,6.3,3.3,27.1,51.7,21.6,40.7,182,6.7,1.03,2.7,63.9,3.0,49.3,41.2,44.4,49.2,64,53.1,63.4,5.7,3.0,9.2,67.9,69.3,51.0,56.1,79.1,37.1,9.0,3.9,28.7,50.2,22.7,41.4,418,6.5,1.05,2.7,60.7,2.5,50.5,51.3,53.3,51.1
Hard,Jiri Lehecka,Jesper De Jong,1,49,61.2,66.3,10.9,3.4,9.0,61.7,75.5,51.5,56.6,84.0,34.9,8.0,3.0,28.0,46.3,18.4,35.8,299,6.1,0.91,2.2,67.3,2.4,50.6,65.0,57.6,51.1,7,28.6,60.6,7.2,3.7,8.6,57.2,69.5,48.6,53.2,72.1,32.9,9.0,4.0,26.0,43.8,18.4,61.3,31,4.4,0.86,2.7,56.1,3.0,47.6,0.0,31.8,45.4
